algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,total_weight,iterations,nodes_explored,success,complexity,efficiency_score,throughput,memory_efficiency
Dijkstra,medium,100,742,1.0569000000941742,0.0063323974609375,6,23,11,11,True,O(E log V),0.0070853399629622026,10.397958218187714,1500.19145287762
Bellman-Ford,medium,100,742,4.5629000001099485,0.0150299072265625,6,23,6,100,True,O(V * E),0.025609956106270464,21.91108481728147,6238.33928585027
BFS,medium,100,742,0.4183000000921311,0.01399993896484375,3,104,65,65,True,O(V + E),0.007453792233738699,155.02027184764563,4333.350965783552
DFS,medium,100,742,0.694600000315404,0.01047515869140625,48,2231,48,48,True,O(V + E),0.007210515787500575,69.00517535686528,4182.948688626608
Multi-Source-BFS,medium,100,742,0.5612999998447776,0.01399993896484375,3,104,65,65,True,O(V + E),0.008065853695634874,115.59665662091977,4333.350965783552
Topological-Sort,medium,100,742,2.1834999997736304,0.00801849365234375,100,100,100,100,True,O(V + E),0.012589434767303792,45.777065694832935,11088.326261006097
A*,medium,100,742,2.6867999999922176,0.0206451416015625,7,12,20,20,True,O(E log V),0.01985150134997584,7.441029838551198,923.994879227598
Dijkstra,medium,100,742,1.413100000263512,0.0102081298828125,7,12,21,20,True,O(E log V),0.010177782270004458,14.14327133602509,1784.419007373362
Bellman-Ford,medium,100,742,5.823299999974552,0.0150299072265625,7,12,7,100,True,O(V * E),0.031004657279875118,17.16944525529882,6238.33928585027
BFS,medium,100,742,0.27110000019092695,0.01399993896484375,3,47,29,29,True,O(V + E),0.006823754140826182,106.5784637252896,1933.3412001188156
DFS,medium,100,742,0.8454999997411505,0.00937652587890625,34,1778,34,34,True,O(V + E),0.007411959706266574,40.16538689946461,3276.6265315365654
Multi-Source-BFS,medium,100,742,0.3924000002371031,0.01399993896484375,3,47,29,29,True,O(V + E),0.007342936347012826,73.7163192234917,1933.3412001188156
Topological-Sort,medium,100,742,3.1450999999833584,0.00809478759765625,100,100,100,100,True,O(V + E),0.01673609034027784,31.785385080108377,10995.309008180713
A*,large,200,1990,4.176999999799591,0.03273773193359375,6,23,31,31,True,O(E log V),0.031121605340563636,7.419818095138103,918.8525198142408
Dijkstra,large,200,1990,3.5299000001032255,0.02692413330078125,6,23,33,33,True,O(E log V),0.026000140952168082,9.346059078148702,1181.7734733087218
Bellman-Ford,large,200,1990,13.169000000289088,0.11013031005859375,6,23,8,200,True,O(V * E),0.10091639064629837,15.186028853121481,1799.6890307833162
BFS,large,200,1990,0.18080000018017017,0.01932525634765625,3,73,24,24,True,O(V + E),0.008591511085917491,132.0132011893023,1180.7969153986828
DFS,large,200,1990,1.573000000007596,0.02870941162109375,115,5701,115,115,True,O(V + E),0.018346515171577017,73.06226175314168,3870.827247159272
Multi-Source-BFS,large,200,1990,0.28199999997013947,0.01932525634765625,3,73,24,24,True,O(V + E),0.009024662274186602,84.80565371919555,1180.7969153986828
Topological-Sort,large,200,1990,6.014699999923323,0.01587677001953125,200,200,200,200,True,O(V + E),0.03216646002606895,33.24633874736925,11850.608840941886
A*,large,200,1990,51.41640000010739,0.0329437255859375,4,33,157,157,True,O(E log V),0.23339665829286466,3.053441053022364,4625.302535000557
Dijkstra,large,200,1990,8.064599999670463,0.03047943115234375,4,33,179,154,True,O(E log V),0.04684756478134,19.093433843271672,4892.083317983787
Bellman-Ford,large,200,1990,14.45209999974395,0.03546142578125,4,33,9,200,True,O(V * E),0.07620239338131203,13.837861773843894,5485.2490190564195
BFS,large,200,1990,1.0356000002502697,0.01932525634765625,3,74,159,159,True,O(V + E),0.012250183383656939,153.38606980668737,7822.779564516274
